Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2139,0,9,48.49715002186774,3.570500062778592,2174.570000031963,58.75689574567555,36.020176529861445,0.0,9,11,12,13,17,23,39,2100,2100,2200,2200
GET,/stats,485,0,8,53.603747628206754,3.6140000447630882,3079.557300079614,85.60412371134021,8.167267703124264,0.0,8,10,11,12,15,22,2000,2100,3100,3100,3100
,Aggregated,2624,0,8,49.44101428980769,3.570500062778592,3079.557300079614,63.719131097560975,44.187444232985705,0.0,8,10,12,13,17,23,39,2100,2200,3100,3100
